City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Taoudenni,22.6783,-3.9836,87.53,13,30,7.83,ML,1651620261
Lata,40.1629,-8.3327,58.08,74,20,4.5,PT,1651620261
Haukipudas,65.1765,25.3523,30.25,77,33,4.36,FI,1651620262
Rikitea,-23.1203,-134.9692,77.31,79,68,17.34,PF,1651620262
Vestmannaeyjar,63.4427,-20.2734,41.63,83,79,26.13,IS,1651620263
Bahir Dar,11.5936,37.3908,68.54,66,31,3.06,ET,1651620263
Hobart,-42.8794,147.3294,56.01,89,75,6.91,AU,1651620263
Richards Bay,-28.783,32.0377,65.01,91,1,7.02,ZA,1651620264
Susanville,40.4163,-120.653,66.67,34,0,5.75,US,1651620001
Jumla,29.2747,82.1838,51.4,86,91,2.86,NP,1651620264
Puerto Limón,10.0,-83.0333,82.29,83,0,4.61,CR,1651620265
Barrow,71.2906,-156.7887,21.22,86,100,11.5,US,1651620265
Puerto Ayora,-0.7393,-90.3518,82.36,81,61,7.85,EC,1651620142
Cherskiy,68.75,161.3,33.69,92,96,10.54,RU,1651620266
Busselton,-33.65,115.3333,52.23,73,56,11.43,AU,1651620266
Mataura,-46.1927,168.8643,56.48,65,11,2.59,NZ,1651620267
Carnarvon,-24.8667,113.6333,59.07,72,0,9.22,AU,1651620164
Deer Lake,49.1667,-57.4316,42.66,75,100,5.75,CA,1651620267
Ancud,-41.8697,-73.8203,52.84,97,100,9.15,CL,1651620267
Rogaška Slatina,46.2375,15.6397,52.39,85,99,2.3,SI,1651620268
Dingle,10.9995,122.6711,79.38,83,100,7.09,PH,1651620268
Bluff,-46.6,168.3333,56.8,75,19,4.9,NZ,1651620269
Ushuaia,-54.8,-68.3,40.66,70,20,26.46,AR,1651620092
Guerrero Negro,27.9769,-114.0611,63.82,69,100,17.09,MX,1651620269
Avarua,-21.2078,-159.775,80.65,89,100,6.91,CK,1651620270
Belmonte,-15.8631,-38.8828,76.51,82,3,7.52,BR,1651620270
Hermanus,-34.4187,19.2345,60.8,94,1,9.04,ZA,1651620270
Cayenne,4.9333,-52.3333,80.1,1,75,3.44,GF,1651620271
Punta Arenas,-53.15,-70.9167,42.91,81,40,29.93,CL,1651620271
Hilo,19.7297,-155.09,77.29,91,100,4.61,US,1651620272
Cape Town,-33.9258,18.4232,61.11,89,2,12.66,ZA,1651620172
Dobrinka,52.1653,40.4731,48.61,71,99,11.07,RU,1651620272
Meulaboh,4.1363,96.1285,75.69,93,100,8.41,ID,1651620272
Butaritari,3.0707,172.7902,81.9,76,24,12.55,KI,1651620273
Airai,-8.9266,125.4092,64.11,86,56,2.95,TL,1651620273
Hasaki,35.7333,140.8333,66.6,61,0,17.18,JP,1651620274
Okhotsk,59.3833,143.3,31.3,85,83,5.57,RU,1651620274
Gizo Government Station,-8.103,156.8419,83.37,73,65,8.34,SB,1651620274
Narsaq,60.9167,-46.05,37.62,82,92,4.94,GL,1651620275
Lebu,-37.6167,-73.65,53.62,90,41,15.48,CL,1651620275
Vaini,-21.2,-175.2,80.76,65,40,11.5,TO,1651620276
Vanimo,-2.6741,141.3028,80.53,86,79,2.48,PG,1651620276
Tzucacab,20.0667,-89.05,88.92,51,54,7.11,MX,1651620277
Qaanaaq,77.484,-69.3632,18.36,76,100,2.75,GL,1651620277
Asău,46.4333,26.4,49.95,84,99,3.74,RO,1651620277
Saint George,37.1041,-113.5841,75.63,12,0,15.99,US,1651620278
Klyuchi,52.2667,79.1667,39.85,39,39,6.58,RU,1651620278
Ribeira Grande,38.5167,-28.7,63.0,88,75,9.22,PT,1651620279
Ugoofaaru,5.6667,73.0,84.49,69,99,13.67,MV,1651620080
Mar del Plata,-38.0023,-57.5575,54.88,73,0,10.0,AR,1651620279
Lakatoro,-16.0999,167.4164,83.71,70,51,5.55,VU,1651620280
Kayan,16.9056,96.5631,80.74,60,78,3.02,MM,1651620280
Severo-Kuril'sk,50.6789,156.125,34.97,99,100,11.86,RU,1651620280
Mataquescuintla,14.5292,-90.1842,69.75,74,96,3.06,GT,1651620281
East London,-33.0153,27.9116,66.78,53,94,1.81,ZA,1651620281
Rabaul,-4.1967,152.1721,82.29,74,60,1.59,PG,1651620282
Pachino,36.7186,15.0907,59.29,63,46,6.11,IT,1651620282
Okha,53.5739,142.9478,34.0,89,93,5.01,RU,1651620282
Hualmay,-11.0964,-77.6139,66.29,84,13,6.69,PE,1651620283
Coquimbo,-29.9533,-71.3436,53.33,100,40,3.44,CL,1651620162
Along,28.1667,94.7667,65.25,92,100,0.31,IN,1651620283
Port Alfred,-33.5906,26.891,60.19,95,70,6.33,ZA,1651620284
Qasigiannguit,68.8193,-51.1922,26.85,97,100,6.38,GL,1651620284
Tieling,42.2931,123.8414,62.2,46,47,20.36,CN,1651620285
Norman Wells,65.282,-126.8329,59.04,38,75,18.41,CA,1651620285
San Patricio,28.017,-97.5169,84.07,62,73,15.86,US,1651620286
Padang,-0.9492,100.3543,77.05,92,100,4.32,ID,1651620286
Tuktoyaktuk,69.4541,-133.0374,24.8,100,100,8.05,CA,1651620287
Zacatepec,18.65,-99.2,101.64,13,73,2.19,MX,1651620195
Urucará,-2.5364,-57.76,75.15,96,48,1.59,BR,1651620287
Flinders,-34.5833,150.8552,71.38,81,1,7.0,AU,1651620288
Sitka,57.0531,-135.33,46.29,76,100,9.22,US,1651620288
Clyde River,70.4692,-68.5914,12.43,73,20,9.22,CA,1651620289
Chokurdakh,70.6333,147.9167,30.15,96,100,5.01,RU,1651620289
Kaitangata,-46.2817,169.8464,58.05,61,7,1.92,NZ,1651620289
Vostok,46.4856,135.8833,36.73,85,82,1.81,RU,1651620290
Hithadhoo,-0.6,73.0833,80.56,83,98,22.39,MV,1651620080
Port Augusta,-32.5,137.7667,60.06,71,38,14.27,AU,1651620290
Namatanai,-3.6667,152.4333,84.2,72,50,6.08,PG,1651620291
Atuona,-9.8,-139.0333,79.41,79,19,17.85,PF,1651619997
Wukari,7.85,9.7833,83.41,66,78,6.71,NG,1651620291
Tasiilaq,65.6145,-37.6368,24.96,86,100,5.1,GL,1651620292
